Pongo,,,,,
Animalia,Chordata,Reptilia,Sauria,Helodermatidae,Heloderma
Animalia,,Reptilia,Squamata,Helodermatidae,Heloderma
,,,,,
Relictus,,,,,
,,Actinopteri,Cypriniformes,Cyprinidae,Relictus
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Relictus
,,,,,
Saguinus,,,,,
Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus
Animalia,Chordata,Mammalia,Primates,Cebidae,Saguinus
Animalia,Chordata,Mammalia,Primates,Callithricidae,Saguinus
,,,,,
Ithycyphus,,,,,
Animalia,Chordata,Reptilia,Serpentes,Colubridae,Ithycyphus
Animalia,Chordata,Reptilia,Squamata,Colubridae,Ithycyphus
,,,,,
Diademichthys,,,,,
,,Actinopteri,Gobiesociformes,Gobiesocidae,Diademichthys
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Diademichthys
Animalia,Chordata,,,Gobiesocidae,Diademichthys
Animalia,Chordata,Actinopterygii,,Gobiesocidae,Diademichthys
,,,,,
Leptocottus,,,,,
Animalia,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Leptocottus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus
Animalia,Chordata,Osteichthys,Scorpaeniformes,Cottidae,Leptocottus
,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Leptocottus
,,,,,
Cuculus,,,,,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus
Animalia,,Aves,Cuculiformes,Cuculidae,Cuculus
Animalia,Chordata,Aves,Cuculiformes,Cuculidae;cuculinae,Cuculus
,,,,,
Acinonyx,,,,,
Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx
,,,,,
Alsodes,,,,,
Animalia,Chordata,Amphibia,Anura,Alsodidae,Alsodes
Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Alsodes
Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Alsodes
,,,,,
Neoditrema,,,,,
,,Actinopteri,Perciformes,Embiotocidae,Neoditrema
